Level,Importance Rank,Category,Title,Approach Tags,Difficulty,Frequency,Acceptance Rate,Link,Topics,Importance Rank.1
Easy,1,Array,Two Sum,Hashing,EASY,100.0,0.0058009546124321,https://leetcode.com/problems/two-sum,"Array, Hash Table",1
Easy,2,Array,Binary Search,Divide and Conquer,EASY,46.7,0.0061302849529222,https://leetcode.com/problems/binary-search,"Array, Binary Search",2
Easy,3,Array,Best Time to Buy and Sell Stock,Dynamic Programming,EASY,82.3,0.005725129945966,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming",3
Easy,4,Array,Majority Element,Hashing;Divide and Conquer,EASY,31.3,0.0066486967506307,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting, Boyer–Moore Majority Vote Algorithm",4
Easy,5,Linked List,Reverse Linked List,Recursion,EASY,31.3,0.0080941984462815,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion",5
Easy,6,Linked List,Merge Two Sorted Lists,Recursion,EASY,51.8,0.0068747476765845,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion",6
Easy,7,Linked List,Linked List Cycle,Hashing,EASY,51.8,0.0054906079255149,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers, Floyd's Cycle Finding Algorithm",7
Easy,8,Trees,Maximum Depth of Binary Tree,Recursion,EASY,40.2,0.0078522474017726,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",8
Easy,9,String,Add Binary,Problem-specific,EASY,31.3,0.0058484854993091,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation",9
Easy,10,Array,Add Digits,Problem-specific,EASY,31.3,0.0069233151501521,https://leetcode.com/problems/add-digits,"Math, Simulation, Number Theory",10
Easy,11,Array,Check if Array Is Sorted and Rotated,Problem-specific,EASY,31.3,0.0057611171887985,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated,Array,11
Easy,12,Array,Climbing Stairs,Dynamic Programming,EASY,67.6,0.0054281388092459,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization",12
Easy,13,Database,Combine Two Tables,Problem-specific,EASY,31.3,0.0079879493034682,https://leetcode.com/problems/combine-two-tables,Database,13
Easy,14,Array,Concatenation of Array,Problem-specific,EASY,46.7,0.0090075768822553,https://leetcode.com/problems/concatenation-of-array,"Array, Simulation",14
Easy,15,Array,Contains Duplicate,Hashing,EASY,40.2,0.0064629080079441,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting",15
Easy,16,Array,Count Pairs That Form a Complete Day I,Hashing,EASY,40.2,0.0077867717123294,https://leetcode.com/problems/count-pairs-that-form-a-complete-day-i,"Array, Hash Table, Counting",16
Easy,17,Database,Delete Duplicate Emails,Problem-specific,EASY,31.3,0.0066579902023343,https://leetcode.com/problems/delete-duplicate-emails,Database,17
Easy,18,Array,Fibonacci Number,Dynamic Programming,EASY,59.4,0.0074521896812705,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization",18
Easy,19,String,Find the Index of the First Occurrence in a String,Problem-specific,EASY,31.3,0.004716734706792,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching, Z Algorithm, Knuth–Morris–Pratt Algorithm, Boyer–Moore String-Search Algorithm",19
Easy,20,Array,Implement Queue using Stacks,Problem-specific,EASY,46.7,0.007023144221854,https://leetcode.com/problems/implement-queue-using-stacks,"Stack, Design, Queue",20
Easy,21,String,Is Subsequence,Dynamic Programming,EASY,31.3,0.0049341571832576,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming",21
Easy,22,Array,Lemonade Change,Greedy,EASY,55.9,0.0059394486094228,https://leetcode.com/problems/lemonade-change,"Array, Greedy",22
Easy,23,String,Longest Common Prefix,Problem-specific,EASY,67.6,0.0048187212249055,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie",23
Easy,24,Array,Maximize Sum Of Array After K Negations,Greedy,EASY,31.3,0.0054252332183215,https://leetcode.com/problems/maximize-sum-of-array-after-k-negations,"Array, Greedy, Sorting",24
Easy,25,Array,Maximum Average Subarray I,Sliding Window,EASY,31.3,0.0048902094273945,https://leetcode.com/problems/maximum-average-subarray-i,"Array, Sliding Window",25
Easy,26,Array,Maximum Units on a Truck,Greedy,EASY,31.3,0.0075163878759245,https://leetcode.com/problems/maximum-units-on-a-truck,"Array, Greedy, Sorting",26
Easy,27,Array,Merge Sorted Array,Divide and Conquer,EASY,46.7,0.0055527994470482,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting",27
Easy,28,String,Merge Strings Alternately,Problem-specific,EASY,31.3,0.0082147390989533,https://leetcode.com/problems/merge-strings-alternately,"Two Pointers, String",28
Easy,29,Array,Minimum Cost to Move Chips to The Same Position,Greedy,EASY,31.3,0.0073131261450098,https://leetcode.com/problems/minimum-cost-to-move-chips-to-the-same-position,"Array, Math, Greedy",29
Easy,30,String,Minimum Number of Flips to Make Binary String Alternating,Greedy,EASY,,,https://www.geeksforgeeks.org/dsa/number-flips-make-binary-string-alternate/,"String, Greedy",30
Easy,31,Array,Missing Number,Hashing,EASY,40.2,0.0072516602349871,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting",31
